id,medicineName,dose,volumeUnit,pvp,reImbursementRate
831,Cefixima Generis 400 mg Comprimidos,400 mg,Blister - 8 unidade(s),8.42,69%
832,Cefixima Germed 100 mg/5 ml Pó para Suspensão Oral,20 mg/ml,Frasco - 1 unidade(s) - 100 ml,5.74,0%
833,Cefixima Germed 100 mg/5 ml Pó para Suspensão Oral,20 mg/ml,Frasco - 1 unidade(s) - 60 ml,3.85,69%
834,Cefixima Germed 400 mg Comprimidos Revestidos,400 mg,Blister - 12 unidade(s),12.24,0%
835,Cefixima Germed 400 mg Comprimidos Revestidos,400 mg,Blister - 6 unidade(s),5.86,0%
836,Cefixima Germed 400 mg Comprimidos Revestidos,400 mg,Blister - 1 unidade(s),2.82,0%
837,Cefixima Labesfal 100 mg/5 ml Pó para Suspensão Oral,20 mg/ml,Frasco - 1 unidade(s) - 100 ml,5.74,0%
838,Cefixima Labesfal 100 mg/5 ml Pó para Suspensão Oral,20 mg/ml,Frasco - 1 unidade(s) - 60 ml,3.85,69%
839,Cefixima Labesfal 400 mg Comprimidos Revestidos,400 mg,Blister - 12 unidade(s),12.24,0%
840,Cefixima Labesfal 400 mg Comprimidos Revestidos,400 mg,Blister - 6 unidade(s),5.86,0%
841,Cefixima Labesfal 400 mg Comprimidos Revestidos,400 mg,Blister - 1 unidade(s),2.82,0%
842,Cefixima Neocef 100 mg/5 ml Pó para Suspensão Oral,20 mg/ml,Frasco - 1 unidade(s) - 120 ml,6.67,69%
843,Cefixima Neocef 100 mg/5 ml Pó para Suspensão Oral,20 mg/ml,Frasco - 1 unidade(s) - 60 ml,3.85,69%
844,Cefotaxima Labesfal 1000 mg Pó e solvente para solução injectável IM/IV,1000 mg/4 ml,Frasco para injetáveis - 1 unidade(s) - 4 ml,6.12,0%
845,Cefotaxima Labesfal 500 mg Pó e solvente para solução injectável IM/IV,500 mg/2 ml,Frasco para injetáveis - 1 unidade(s) - 2 ml,4.14,0%
846,Ceftriaxona Labesfal 500 mg Pó e Solvente para Solução Injectável (IM),500 mg/2 ml,Frasco para injetáveis - 1 unidade(s) - 2 ml,3.46,69%
847,Ceftriaxona Mesporin 500 mg Pó e Solvente para Solução Injectável IM,500 mg/2 ml,Frasco para injetáveis - 1 unidade(s) - 2 ml,3.46,69%
848,Cefuroxima Generis,250 mg,Blister - 16 unidade(s),5.37,69%
849,Cefuroxima Generis,500 mg,Blister - 16 unidade(s),6.23,69%
850,Cefuroxima Ratiopharm,250 mg,Blister - 16 unidade(s),5.37,69%
851,Cefuroxima Ratiopharm,500 mg,Blister - 16 unidade(s),6.23,69%
852,Celecoxib Alter,200 mg,Blister - 60 unidade(s),11.4,37%
853,Celecoxib Alter,200 mg,Blister - 20 unidade(s),3.84,37%
854,Celecoxib Ciclum,200 mg,Blister - 20 unidade(s),3.64,37%
855,Celecoxib Farmoz,200 mg,Blister - 20 unidade(s),4.99,37%
856,Celecoxib Farmoz,100 mg,Blister - 60 unidade(s),5.46,37%
857,Celecoxib Farmoz,100 mg,Blister - 20 unidade(s),3.05,37%
858,Celecoxib Krka,100 mg,Blister - 60 unidade(s),9.67,37%
859,Celecoxib Krka,100 mg,Blister - 20 unidade(s),3.22,37%
860,Celecoxib Krka,200 mg,Blister - 20 unidade(s),5.54,37%
861,Celecoxib Krka,200 mg,Blister - 60 unidade(s),17.22,37%
862,Celecoxib Mylan,200 mg,Blister - 20 unidade(s),4.99,37%
863,Celecoxib Mylan,200 mg,Blister - 60 unidade(s),14.1,37%
864,Celecoxib Mylan,100 mg,Blister - 60 unidade(s),8.72,37%
865,Celecoxib Mylan,100 mg,Blister - 20 unidade(s),2.89,37%
866,Celecoxib Pentafarma,200 mg,Blister - 20 unidade(s),5.54,37%
867,Celecoxib Pentafarma,100 mg,Blister - 60 unidade(s),9.67,37%
868,Celecoxib Pentafarma,100 mg,Blister - 20 unidade(s),3.22,37%
869,Celecoxib Ratiopharm,100 mg,Blister - 60 unidade(s),4.92,37%
870,Celecoxib Ratiopharm,100 mg,Blister - 20 unidade(s),1.65,37%
871,Celecoxib Ratiopharm,200 mg,Blister - 20 unidade(s),3.34,37%
872,Celecoxib Ratiopharm,200 mg,Blister - 60 unidade(s),8.84,37%
873,Celecoxib Sandoz,100 mg,Blister - 60 unidade(s),5.18,37%
874,Celecoxib Sandoz,200 mg,Blister - 20 unidade(s),3.34,37%
875,Celecoxib Sandoz,200 mg,Blister - 60 unidade(s),9.27,37%
876,Celecoxib Zentiva,100 mg,Blister - 60 unidade(s),5.18,37%
877,Celecoxib Zentiva,100 mg,Blister - 20 unidade(s),1.65,37%
878,Celecoxib Zentiva,200 mg,Blister - 20 unidade(s),3.34,37%
879,Cetirizina Baldacci,10 mg,Blister - 20 unidade(s),4.54,37%
880,Cetirizina Baldacci 1 mg/ml Solução oral,1 mg/ml,Frasco - 1 unidade(s) - 150 ml,4.04,37%
881,Cetirizina Bluepharma,10 mg,Blister - 20 unidade(s),3.89,37%
882,Cetirizina Ciclum,10 mg,Blister - 20 unidade(s),3.89,37%
883,Cetirizina Generis 1 mg/ml Solução oral,1 mg/ml,Frasco - 1 unidade(s) - 150 ml,4.04,37%
884,Cetirizina Generis 10 mg Comprimidos Revestidos,10 mg,Blister - 20 unidade(s),4.71,37%
885,Cetirizina GP 10 mg Comprimidos revestidos,10 mg,Blister - 20 unidade(s),4.7,37%
886,Cetirizina Jaba 1 mg/ml Solução oral,1 mg/ml,Frasco - 1 unidade(s) - 150 ml,3.97,37%
887,Cetirizina Labesfal 1 mg/ml Solução oral,1 mg/ml,Frasco - 1 unidade(s) - 150 ml,4.03,37%
888,Cetirizina Mylan,10 mg,Blister - 20 unidade(s),4.71,37%
889,Cetirizina Sandoz,10 mg,Blister - 20 unidade(s),4.71,37%
890,Cetirizina Zentiva,10 mg,Blister - 20 unidade(s),4.68,37%
891,Chariva,2 mg + 0.03 mg,Blister - 63 unidade(s),10.6,69%
892,Chariva,2 mg + 0.03 mg,Blister - 21 unidade(s),3.33,69%
893,Ciclosporina Generis,100 mg,Blister - 50 unidade(s),51.27,100%
894,Ciclosporina Generis,25 mg,Blister - 50 unidade(s),16.97,100%
895,Ciclosporina Generis,50 mg,Blister - 50 unidade(s),32.97,100%
896,Ciclosporina Generis,50 mg,Blister - 30 unidade(s),17.33,100%
897,Ciclosporina Generis,100 mg/ml,Frasco - 1 unidade(s) - 50 ml,51.27,100%
898,Ciclosporina Teva,25 mg,Blister - 50 unidade(s),16.94,100%
899,Ciclosporina Teva,25 mg,Blister - 20 unidade(s),6.13,100%
900,Ciclosporina Teva,50 mg,Blister - 50 unidade(s),32.94,100%
901,Ciclosporina Teva,50 mg,Blister - 30 unidade(s),17.3,100%
902,Ciclosporina Teva,100 mg,Blister - 50 unidade(s),51.24,100%
903,Ciclosporina Teva,100 mg/ml,Frasco - 1 unidade(s) - 50 ml,51.24,100%
904,Cilazapril + Hidroclorotiazida Generis,5 mg + 12.5 mg,Blister - 56 unidade(s),13.42,69%
905,Cilazapril + Hidroclorotiazida Generis,5 mg + 12.5 mg,Blister - 14 unidade(s),3.85,69%
906,Cilazapril + Hidroclorotiazida Krka,5 mg + 12.5 mg,Blister - 56 unidade(s),12.76,69%
907,Cilazapril + Hidroclorotiazida Krka,5 mg + 12.5 mg,Blister - 14 unidade(s),3.67,69%
908,Cilazapril Generis,2.5 mg,Blister - 56 unidade(s),9.38,69%
909,Cilazapril Generis,0.5 mg,Blister - 60 unidade(s),3.53,69%
910,Cilostazol Ferrer,100 mg,Blister - 56 unidade(s),9.73,69%
911,Cilostazol Ferrer,100 mg,Blister - 14 unidade(s),2.5,69%
912,Ciplox,500 mg,Blister - 16 unidade(s),10.87,69%
913,Ciprofloxacina Almus,500 mg,Blister - 16 unidade(s),10.87,69%
914,Ciprofloxacina Alter 250 mg comprimidos revestidos,250 mg,Blister - 16 unidade(s),8.5,69%
915,Ciprofloxacina Alter 500 mg comprimidos revestidos,500 mg,Blister - 16 unidade(s),10.87,69%
916,Ciprofloxacina Alter 750 mg comprimidos revestidos,750 mg,Blister - 16 unidade(s),16.55,69%
917,Ciprofloxacina Aurovitas,500 mg,Blister - 16 unidade(s),10.87,69%
918,Ciprofloxacina Aurovitas,750 mg,Blister - 16 unidade(s),16.55,69%
919,Ciprofloxacina Aurovitas,250 mg,Blister - 16 unidade(s),8.56,69%
920,Ciprofloxacina Aurovitas,250 mg,Blister - 8 unidade(s),4.34,69%
921,Ciprofloxacina Basi,250 mg,Blister - 8 unidade(s),4.34,69%
922,Ciprofloxacina Basi,250 mg,Blister - 16 unidade(s),3.48,69%
923,Ciprofloxacina Basi,500 mg,Blister - 16 unidade(s),8.5,69%
924,Ciprofloxacina Bluepharma,250 mg,Blister - 16 unidade(s),8.5,69%
925,Ciprofloxacina Bluepharma,250 mg,Blister - 8 unidade(s),4.34,69%
926,Ciprofloxacina Bluepharma,500 mg,Blister - 16 unidade(s),10.87,69%
927,Ciprofloxacina Bluepharma,500 mg,Blister - 8 unidade(s),5.11,69%
928,Ciprofloxacina Ciclum,250 mg,Blister - 16 unidade(s),6.55,69%
929,Ciprofloxacina Ciclum,500 mg,Blister - 8 unidade(s),5.1,69%
930,Ciprofloxacina Ciclum,500 mg,Blister - 16 unidade(s),9.6,69%
931,Ciprofloxacina Cinfa 250 mg comprimidos revestidos,250 mg,Blister - 16 unidade(s),8.55,69%
932,Ciprofloxacina Cinfa 500 mg comprimidos revestidos,500 mg,Blister - 16 unidade(s),10.87,69%
933,Ciprofloxacina Cinfa 500 mg comprimidos revestidos,500 mg,Blister - 1 unidade(s),1.54,69%
934,Ciprofloxacina Cinfa 750 mg comprimidos revestidos,750 mg,Blister - 16 unidade(s),16.55,69%
935,Ciprofloxacina Farmoz,250 mg,Blister - 8 unidade(s),4.34,69%
936,Ciprofloxacina Farmoz,500 mg,Blister - 16 unidade(s),9.6,69%
937,Ciprofloxacina Generis,250 mg,Blister - 16 unidade(s),8.56,69%
938,Ciprofloxacina Generis,250 mg,Blister - 8 unidade(s),4.34,69%
939,Ciprofloxacina Generis,500 mg,Blister - 8 unidade(s),5.16,69%
940,Ciprofloxacina Generis,500 mg,Blister - 16 unidade(s),10.87,69%
941,Ciprofloxacina Generis,750 mg,Blister - 16 unidade(s),16.55,69%
942,Ciprofloxacina GP,250 mg,Blister - 16 unidade(s),8.56,69%
943,Ciprofloxacina GP,250 mg,Blister - 8 unidade(s),4.34,69%
944,Ciprofloxacina GP,500 mg,Blister - 16 unidade(s),10.85,69%
945,Ciprofloxacina Jaba,500 mg,Blister - 16 unidade(s),8.5,69%
946,Ciprofloxacina Krka,500 mg,Blister - 16 unidade(s),9.65,69%
947,Ciprofloxacina Krka,500 mg,Blister - 8 unidade(s),5.16,69%
948,Ciprofloxacina Krka,250 mg,Blister - 16 unidade(s),8.35,69%
949,Ciprofloxacina Krka,750 mg,Blister - 16 unidade(s),16.55,69%
950,Ciprofloxacina Labesfal,500 mg,Blister - 16 unidade(s),10.87,69%
951,Ciprofloxacina Labesfal,500 mg,Blister - 8 unidade(s),5.16,69%
952,Ciprofloxacina Labesfal,750 mg,Blister - 16 unidade(s),16.55,69%
953,Ciprofloxacina Megaflox 500 mg Comprimidos,500 mg,Blister - 8 unidade(s),5.11,69%
954,Ciprofloxacina Megaflox 500 mg Comprimidos,500 mg,Blister - 16 unidade(s),9.89,69%
955,Ciprofloxacina Mylan,750 mg,Blister - 16 unidade(s),16.55,69%
956,Ciprofloxacina Mylan,250 mg,Blister - 8 unidade(s),4.34,69%
957,Ciprofloxacina Mylan,250 mg,Blister - 16 unidade(s),8.56,69%
958,Ciprofloxacina Mylan,500 mg,Blister - 16 unidade(s),10.87,69%
959,Ciprofloxacina Nixin,250 mg,Blister - 8 unidade(s),4.34,69%
960,Ciprofloxacina Nixin,250 mg,Blister - 16 unidade(s),8.56,69%
961,Ciprofloxacina Pentafarma,750 mg,Blister - 16 unidade(s),16.55,69%
962,Ciprofloxacina Pentafarma,250 mg,Blister - 8 unidade(s),4.34,69%
963,Ciprofloxacina Pentafarma,250 mg,Blister - 16 unidade(s),8.56,69%
964,Ciprofloxacina Pharmakern,500 mg,Blister - 16 unidade(s),9.89,69%
965,Ciprofloxacina Ratiopharm 250 mg Comprimidos Revestidos,250 mg,Blister - 16 unidade(s),8.56,69%
966,Ciprofloxacina Ratiopharm 250 mg Comprimidos Revestidos,250 mg,Blister - 8 unidade(s),4.34,69%
967,Ciprofloxacina Ratiopharm 500 mg Comprimidos Revestidos,500 mg,Blister - 8 unidade(s),4.7,69%
968,Ciprofloxacina Ratiopharm 500 mg Comprimidos Revestidos,500 mg,Blister - 16 unidade(s),10.87,69%
969,Ciprofloxacina Ratiopharm 750 mg Comprimidos Revestidos,750 mg,Blister - 16 unidade(s),16.55,69%
970,Ciprofloxacina Sandoz,250 mg,Blister - 16 unidade(s),8.5,69%
971,Ciprofloxacina Sandoz,500 mg,Blister - 16 unidade(s),10.87,69%
972,Ciprofloxacina Sandoz,750 mg,Blister - 16 unidade(s),16.55,69%
973,Ciprofloxacina Tetrafarma,750 mg,Blister - 16 unidade(s),15.79,69%
974,Ciprofloxacina Tetrafarma,250 mg,Blister - 16 unidade(s),8.19,69%
975,Ciprofloxacina Teva,250 mg,Blister - 16 unidade(s),6.61,69%
976,Ciprofloxacina Teva,250 mg,Blister - 8 unidade(s),4.34,69%
977,Ciprofloxacina Teva,500 mg,Blister - 16 unidade(s),10.87,69%
978,Ciprofloxacina Teva,750 mg,Blister - 16 unidade(s),16.55,69%
979,Ciprofloxacina ToLife,500 mg,Blister - 16 unidade(s),10.87,69%
980,Ciprofloxacina ToLife,500 mg,Blister - 8 unidade(s),5.16,69%
981,Ciproterona + Etinilestradiol Generis,2 mg + 0.035 mg,Blister - 63 unidade(s),5.58,69%
982,Ciproterona + Etinilestradiol Generis,2 mg + 0.035 mg,Blister - 21 unidade(s),2.83,69%
983,Ciproterona Generis 100 mg Comprimidos,100 mg,Blister - 30 unidade(s),21.85,37%
984,Ciproterona Generis 50 mg Comprimidos,50 mg,Blister - 50 unidade(s),18.68,37%
985,Citalopram Aurobindo,20 mg,Blister - 56 unidade(s),6.27,37%
986,Citalopram Aurobindo,10 mg,Blister - 14 unidade(s),1.64,37%
987,Citalopram Aurovitas,40 mg,Blister - 28 unidade(s),8.86,37%
988,Citalopram Aurovitas,10 mg,Blister - 14 unidade(s),2.54,37%
989,Citalopram Aurovitas,10 mg,Blister - 56 unidade(s),4.38,37%
990,Citalopram Aurovitas,20 mg,Blister - 56 unidade(s),8.25,37%
991,Citalopram Azevedos,20 mg,Blister - 56 unidade(s),5.89,37%
992,Citalopram Generis,40 mg,Blister - 28 unidade(s),8.16,37%
993,Citicolina Mylan,1000 mg/10 ml,Saqueta - 10 unidade(s) - 10 ml,11.57,0%
994,Clarissa,2 mg + 0.03 mg,Blister - 63 unidade(s),10.48,69%
995,Clarissa,2 mg + 0.03 mg,Blister - 21 unidade(s),3.61,69%
996,Claritromicina Alter 250 mg Comprimidos Revestidos,250 mg,Blister - 16 unidade(s),5.03,69%
997,Claritromicina Alter 500 mg Comprimidos Revestidos,500 mg,Blister - 16 unidade(s),9.96,69%
998,Claritromicina Aurobindo,250 mg,Blister - 16 unidade(s),4.24,69%
999,Claritromicina Aurovitas,500 mg,Blister - 10 unidade(s),8.06,69%
1000,Claritromicina Aurovitas,500 mg,Blister - 7 unidade(s),5.31,69%
1001,Claritromicina Azevedos,500 mg,Blister - 16 unidade(s),9.96,69%
1002,Claritromicina Basi,500 mg,Blister - 16 unidade(s),8.8,69%
1003,Claritromicina Bluepharma,250 mg,Blister - 16 unidade(s),5.03,69%
1004,Claritromicina Bluepharma,500 mg,Blister - 16 unidade(s),9.96,69%
1005,Claritromicina Bluepharma LP,500 mg,Blister - 10 unidade(s),7.75,69%
1006,Claritromicina Bluepharma LP,500 mg,Blister - 6 unidade(s),4.49,69%
1007,Claritromicina Ciclum 500 mg Comprimidos,500 mg,Blister - 16 unidade(s),9.25,69%
1008,Claritromicina Cinfa 250 mg Comprimidos revestidos,250 mg,Blister - 16 unidade(s),5.03,69%
1009,Claritromicina Cinfa 500 mg Comprimidos revestidos,500 mg,Blister - 16 unidade(s),9.96,69%
1010,Claritromicina Farmoz 250 mg Comprimidos Revestidos,250 mg,Blister - 16 unidade(s),4.95,69%
1011,Claritromicina Farmoz 500 mg Comprimidos Revestidos,500 mg,Blister - 16 unidade(s),9.96,69%
1012,Claritromicina Generis,500 mg,Blister - 6 unidade(s),4.69,69%
1013,Claritromicina Generis 250 mg comprimidos revestidos,250 mg,Blister - 16 unidade(s),5.03,69%
1014,Claritromicina Generis 500 mg comprimidos revestidos,500 mg,Blister - 16 unidade(s),9.27,69%
1015,Claritromicina GP 500 mg Comprimidos revestidos,500 mg,Blister - 16 unidade(s),9.96,69%
1016,Claritromicina Mylan,500 mg,Blister - 16 unidade(s),9.96,69%
1017,Claritromicina Mylan,250 mg,Blister - 16 unidade(s),5.03,69%
1018,Claritromicina Mylan,500 mg,Blister - 6 unidade(s),4.26,69%
1019,Claritromicina Mylan,500 mg,Blister - 10 unidade(s),6.68,69%
1020,Claritromicina Pharmakern,250 mg,Blister - 16 unidade(s),4.95,69%
1021,Claritromicina Pharmakern 500 mg,500 mg,Blister - 16 unidade(s),8.16,69%
1022,Claritromicina ratiopharm 250 mg comprimidos revestidos,250 mg,Blister - 16 unidade(s),5.03,69%
1023,Claritromicina ratiopharm 500 mg comprimidos revestidos,500 mg,Blister - 16 unidade(s),9.96,69%
1024,Claritromicina Sandoz,500 mg,Blister - 16 unidade(s),9.27,69%
1025,Claritromicina TAD,250 mg,Blister - 16 unidade(s),3.55,69%
1026,Claritromicina TAD,500 mg,Blister - 16 unidade(s),6.03,69%
1027,Claritromicina Tetrafarma 500 mg Comprimidos revestidos,500 mg,Blister - 16 unidade(s),8.91,69%
1028,Claritromicina ToLife 250 mg Comprimidos Revestidos,250 mg,Blister - 16 unidade(s),5.03,69%
1029,Claritromicina ToLife 500 mg Comprimidos Revestidos,500 mg,Blister - 16 unidade(s),9.96,69%
1030,Claritromicina Zentiva,250 mg,Blister - 16 unidade(s),3.74,69%
1031,Claritromicina Zentiva,500 mg,Blister - 16 unidade(s),6.35,69%
1032,Clarus,0.5 mg/ml,Frasco - 1 unidade(s) - 150 ml,3.62,37%
1033,Clopidogrel Adapes,75 mg,Blister - 28 unidade(s),8.7,69%
1034,Clopidogrel Alirom,75 mg,Blister - 28 unidade(s),9.17,69%
1035,Clopidogrel Almus,75 mg,Blister - 28 unidade(s),4.82,69%
1036,Clopidogrel Alter Genéricos,75 mg,Blister - 28 unidade(s),4.82,69%
1037,Clopidogrel Atral,75 mg,Blister - 28 unidade(s),9.17,69%
1038,Clopidogrel Aurovitas,75 mg,Blister - 28 unidade(s),7.69,69%
1039,Clopidogrel Azevedos,75 mg,Blister - 28 unidade(s),9.17,69%
1040,Clopidogrel Balplak,75 mg,Blister - 28 unidade(s),8.71,69%
1041,Clopidogrel Basi,75 mg,Blister - 28 unidade(s),4.75,69%
1042,Clopidogrel Bluepharma,75 mg,Blister - 28 unidade(s),8.72,69%
1043,Clopidogrel Cereflow,75 mg,Blister - 28 unidade(s),6.68,69%
1044,Clopidogrel Ciclum,75 mg,Blister - 28 unidade(s),4.74,69%
1045,Clopidogrel Cinfa,75 mg,Blister - 28 unidade(s),9.17,69%
1046,Clopidogrel Farmoz,75 mg,Blister - 28 unidade(s),9.17,69%
1047,Clopidogrel Generis Phar,75 mg,Blister - 28 unidade(s),9.17,69%
1048,Clopidogrel GP,75 mg,Blister - 28 unidade(s),8.72,69%
1049,Clopidogrel Jaba,75 mg,Blister - 28 unidade(s),4.77,69%
1050,Clopidogrel Kaissan,75 mg,Blister - 28 unidade(s),9.17,69%
1051,Clopidogrel Krival,75 mg,Blister - 28 unidade(s),4.79,69%
1052,Clopidogrel Krka,75 mg,Blister - 28 unidade(s),8.72,69%
1053,Clopidogrel Labesfal,75 mg,Blister - 28 unidade(s),4.79,69%
1054,Clopidogrel Mylan,75 mg,Blister - 28 unidade(s),9.17,69%
1055,Clopidogrel Pensa,75 mg,Blister - 28 unidade(s),4.82,69%
1056,Clopidogrel Pharmakern,75 mg,Blister - 28 unidade(s),9.17,69%
1057,Clopidogrel Refta,75 mg,Blister - 28 unidade(s),9.17,69%
1058,Clopidogrel Stada,75 mg,Blister - 28 unidade(s),4.82,69%
1059,Clopidogrel Tarmix,75 mg,Blister - 28 unidade(s),4.74,0%
1060,Clopidogrel Tecnigen,75 mg,Blister - 28 unidade(s),4.74,69%
1061,Clopidogrel Tecnilor,75 mg,Blister - 28 unidade(s),8.42,69%
1062,Clopidogrel toLife,75 mg,Blister - 28 unidade(s),8.72,69%
1063,Clopidogrel Trafar,75 mg,Blister - 28 unidade(s),8.72,69%
1064,Cloreto de tróspio Generis,20 mg,Blister - 20 unidade(s),3.59,37%
1065,Cloreto de tróspio Generis,20 mg,Blister - 60 unidade(s),9.44,37%
1066,Clozapina Generis,25 mg,Blister - 60 unidade(s),6.68,90%
1067,Clozapina Generis,100 mg,Blister - 60 unidade(s),19.06,90%
1068,Clozapina Mylan,25 mg,Blister - 56 unidade(s),4.68,90%
1069,Clozapina Mylan,25 mg,Blister - 14 unidade(s),2.55,90%
1070,Clozapina Mylan,100 mg,Blister - 60 unidade(s),12.84,90%
1071,Clozapina ratiopharm,100 mg,Blister - 60 unidade(s),12.84,90%
1072,Clozapina ratiopharm,25 mg,Blister - 60 unidade(s),5.01,90%
1073,Clozapina ratiopharm,25 mg,Blister - 20 unidade(s),3.62,90%
1074,Cotrimoxazol Ratiopharm,800 mg + 160 mg,Blister - 20 unidade(s),3.84,69%
1075,Daylette,3 mg + 0.02 mg,Blister - 84 unidade(s),9.85,69%
1076,Daylette,3 mg + 0.02 mg,Blister - 28 unidade(s),4.3,69%
1077,Dazenar,30 mg,Blister - 10 unidade(s),6.04,37%
1078,Deflazacorte Acizan,6 mg,Blister - 60 unidade(s),10.74,37%
1079,Deflazacorte Acizan,6 mg,Blister - 20 unidade(s),4.19,37%
1080,Deflazacorte Acizan,30 mg,Blister - 20 unidade(s),13.9,37%
1081,Deflazacorte Almus,30 mg,Blister - 10 unidade(s),6.62,37%
1082,Deflazacorte Almus,6 mg,Blister - 60 unidade(s),10.74,37%
1083,Deflazacorte Almus,6 mg,Blister - 20 unidade(s),4.19,37%
1084,Deflazacorte Alter,6 mg,Blister - 60 unidade(s),10.74,37%
1085,Deflazacorte Alter,6 mg,Blister - 20 unidade(s),4.19,37%
1086,Deflazacorte Alter,30 mg,Blister - 10 unidade(s),6.62,0%
1087,Deflazacorte Alter,30 mg,Blister - 60 unidade(s),40.05,0%
1088,Deflazacorte Alter,30 mg,Blister - 20 unidade(s),13.9,37%
1089,Deflazacorte Ciclum,30 mg,Blister - 20 unidade(s),13.24,37%
1090,Deflazacorte Ciclum,6 mg,Blister - 60 unidade(s),10.74,37%
1091,Deflazacorte Cinfa,6 mg,Blister - 20 unidade(s),4.19,37%
1092,Deflazacorte Cinfa,30 mg,Blister - 10 unidade(s),6.59,37%
1093,Deflazacorte Farmoz,6 mg,Blister - 60 unidade(s),10.74,37%
1094,Deflazacorte Farmoz,6 mg,Blister - 20 unidade(s),4.19,37%
1095,Deflazacorte Farmoz,30 mg,Blister - 20 unidade(s),13.9,37%
1096,Deflazacorte Generis,30 mg,Blister - 20 unidade(s),13.97,37%
1097,Deflazacorte Generis,6 mg,Blister - 60 unidade(s),10.74,37%
1098,Deflazacorte Generis,6 mg,Blister - 20 unidade(s),4.19,37%
1099,Deflazacorte GP,6 mg,Blister - 60 unidade(s),10.74,37%
1100,Deflazacorte GP,6 mg,Blister - 20 unidade(s),4.19,37%
1101,Deflazacorte GP,30 mg,Blister - 20 unidade(s),13.9,37%
1102,Deflazacorte Jaba,30 mg,Blister - 20 unidade(s),8.91,37%
1103,Deflazacorte Jaba,6 mg,Blister - 60 unidade(s),9.95,37%
1104,Deflazacorte Jaba,6 mg,Blister - 20 unidade(s),3.89,37%
1105,Deflazacorte Ratiopharm,6 mg,Blister - 60 unidade(s),10.74,37%
1106,Deflazacorte Ratiopharm,6 mg,Blister - 20 unidade(s),4.19,37%
1107,Deflazacorte Ratiopharm,30 mg,Blister - 10 unidade(s),6.62,37%
1108,Deflazacorte Tolife,6 mg,Blister - 60 unidade(s),10.74,37%
1109,Deflazacorte Tolife,6 mg,Blister - 20 unidade(s),4.19,37%
1110,Deflazacorte Tolife,30 mg,Blister - 10 unidade(s),6.62,37%
1111,Denille,2 mg + 0.03 mg,Blister - 126 unidade(s),22.9,0%
1112,Denille,2 mg + 0.03 mg,Blister - 63 unidade(s),11.53,69%
1113,Denille,2 mg + 0.03 mg,Blister - 21 unidade(s),4.73,69%
1114,Desdek,1 mg/g,Bisnaga - 1 unidade(s) - 30 g,4.81,37%
1115,Desdek,1 mg/g,Bisnaga - 1 unidade(s) - 30 g,4.81,37%
1116,Desloratadina Actavis,5 mg,Blister - 20 unidade(s),3.47,37%
1117,Desloratadina Alter,5 mg,Blister - 20 unidade(s),2.27,37%
1118,Desloratadina Alter,5 mg,Blister - 20 unidade(s),4.35,37%
1119,Desloratadina Aurovitas,5 mg,Blister - 20 unidade(s),2.09,37%
1120,Desloratadina Azevedos,0.5 mg/ml,Frasco - 1 unidade(s) - 150 ml,3.62,0%
1121,Desloratadina Basi,5 mg,Blister - 20 unidade(s),2.2,37%
1122,Desloratadina Bluepharma,5 mg,Blister - 20 unidade(s),2.34,37%
1123,Desloratadina Ciclum,5 mg,Blister - 20 unidade(s),2.2,37%
1124,Desloratadina Farmoz,5 mg,Blister - 20 unidade(s),2.88,37%
1125,Desloratadina Krka,5 mg,Blister - 20 unidade(s),3.91,37%
1126,Desloratadina Labesfal,5 mg,Blister - 20 unidade(s),3.33,37%
1127,Desloratadina Mepha,5 mg,Blister - 20 unidade(s),3.91,37%
1128,Desloratadina Mylan,5 mg,Blister - 20 unidade(s),3.91,37%
1129,Desloratadina Pharmakern,0.5 mg/ml,Frasco - 1 unidade(s) - 150 ml,4.72,37%
1130,Desloratadina Pharmakern,5 mg,Blister - 20 unidade(s),3.21,37%
1131,Desloratadina Ratiopharm,5 mg,Blister - 20 unidade(s),3.75,37%
1132,Desloratadina Ratiopharm,5 mg,Blister - 20 unidade(s),4.54,37%
1133,Desloratadina Teva,5 mg,Blister - 20 unidade(s),2.59,37%
1134,Desloratadina Teva,5 mg,Blister - 20 unidade(s),4.82,37%
1135,Desloratadina toLife,5 mg,Blister - 20 unidade(s),2.42,37%
1136,Desmopressina Teva,0.1 mg,Blister - 10 unidade(s),3.72,100%
1137,Desmopressina Teva,0.1 mg,Blister - 30 unidade(s),9.97,100%
1138,Desmopressina Teva,0.2 mg,Blister - 10 unidade(s),8.44,100%
1139,Desmopressina Teva,0.2 mg,Blister - 30 unidade(s),22.34,100%
1140,Desogestrel + Etinilestradiol Mylan,0.15 mg + 0.02 mg,Blister - 63 unidade(s),8.5,69%
1141,Desogestrel + Etinilestradiol Mylan,0.15 mg + 0.02 mg,Blister - 21 unidade(s),3.79,69%
1142,Desogestrel Aurovitas,0.075 mg,Blister - 28 unidade(s),3.86,69%
1143,Desogestrel Aurovitas,0.075 mg,Blister - 84 unidade(s),9.35,69%
1144,Diazepam Ratiopharm 10 mg Comprimidos,10 mg,Blister - 60 unidade(s),2.74,37%
1145,Diazepam Ratiopharm 10 mg Comprimidos,10 mg,Blister - 20 unidade(s),1.65,37%
1146,Diazepam Ratiopharm 5 mg Comprimidos,5 mg,Blister - 60 unidade(s),2.35,37%
1147,Diazepam Ratiopharm 5 mg Comprimidos,5 mg,Blister - 20 unidade(s),1.5,37%
